*SHIP
**CLASS	UNITS	LCG IN USE	LCG REF PT	LCG + DIR	VCG IN USE	TCG IN USE	TCG + DIR	POSITION FORMAT
DMS	METRIC	N	AP	F	N	N	PORT	BAY-STACK-TIER
*SECTION
**STAF BAY	LEVEL	20 NAME	40 NAME	SL Hatch	SL ForeAft	LCG 20	LCG 40	LCG 45	LCG 48	STACK WT 20	STACK WT 40	STACK WT 45	STACK WT 48	MAX HEIGHT	PAIRED BAY	REEFER PLUGS	DOORS	ATHWARTSHIPS	BULKHEAD	BULKHEAD LCG	LCG 24	STACK WT 24
11	A	10	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1110	1210
11	A	11	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1111	1211
11	A	12	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1112	1212
11	A	13	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1113	1213
11	A	14	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1114	1214
11	A	15	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1115	1215
11	A	16	-	90	82	-	-	Y	Y	Y	N	-	-	-	-	%	%	%	-	-	N	-	-	1116	1216
11	B	01	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1101	1201
11	B	02	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1102	1202
11	B	03	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1103	1203
11	B	04	-	18	04	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1104	1204
11	B	05	-	18	06	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1105	1205
11	B	06	-	18	06	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1106	1206
11	B	07	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1107	1207
11	B	08	-	18	10	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1108	1208
11	B	09	-	18	12	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1109	1209
11	B	10	-	18	12	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1110	1210
11	B	11	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1111	1211
11	B	12	-	18	14	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1112	1212
11	B	13	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1113	1213
11	B	14	-	18	18	-	-	Y	Y	N	N	-	-	-	-	%	%	-	-	-	N	-	-	1114	1214
13	A	01	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1301	-
13	A	02	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1302	-
13	A	03	-	90	82	-	-	Y	N	N	N	-	-	-	-	%	-	-	-	-	N	-	-	1303	-
